Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,TargetClass
1973-07-11,0.0,4.625,4.4375,4.515625,1.7764297723770142,32800,80.72284061186694,1.582558753490448,1.6233672922326798,1.586492669582367,1.834263365414753,1.3387219737499807,1.7641352415084839,0
1973-07-12,0.0,4.5,4.40625,4.484375,1.7641352415084839,15200,81.70724035237757,1.583173429965973,1.628887603968986,1.595098227262497,1.855320473752783,1.3348759807722108,1.7579882144927979,0
1973-07-13,0.0,4.5,4.453125,4.46875,1.7579882144927979,46400,81.70722102798997,1.5840339756011963,1.6339503730091354,1.6033964335918427,1.8735993501258545,1.3331935170578308,1.8133093118667603,1
1973-07-16,0.0,4.609375,4.484375,4.609375,1.8133093118667603,185600,82.75849308961213,1.5864926838874818,1.640984056885905,1.6172267138957976,1.9010300705576493,1.333423357233946,1.8686316013336182,1
1973-07-17,0.0,4.75,4.625,4.75,1.8686316013336182,34400,83.87088432849049,1.5895660972595216,1.6499114115701292,1.6359745144844056,1.9345661477844267,1.3373828811843844,1.8686316013336182,0
1973-07-18,0.0,4.75,4.71875,4.75,1.8686316013336182,56000,83.14598882273997,1.593008327484131,1.6584886739137956,1.6559516668319703,1.9609252603664342,1.3509780732975063,1.8932186365127563,1
1973-07-19,0.0,4.8125,4.75,4.8125,1.8932186365127563,11200,83.14597413238008,1.597556960582733,1.667693770486304,1.6774654865264893,1.9857982967679415,1.369132676285037,1.9055122137069702,1
1973-07-20,0.0,4.875,4.796875,4.84375,1.9055122137069702,119200,80.51939122184557,1.6023514652252198,1.677019983945938,1.7005160450935364,2.0044151424125705,1.3966169477745023,1.8870716094970703,0
1973-07-23,0.0,4.875,4.734375,4.796875,1.8870716094970703,30400,77.21505407756129,1.6076377081871032,1.6852573025950022,1.7229519188404083,2.011210349703816,1.434693487977001,1.8932186365127563,1
1973-07-24,0.0,4.8125,4.75,4.8125,1.8932186365127563,39200,76.62331153109257,1.6125551605224608,1.6934126490231496,1.7444657385349274,2.0146782158428316,1.4742532612270234,1.8686316013336182,0
1973-07-25,0.0,4.828125,4.75,4.75,1.8686316013336182,9600,61.403549361713715,1.6177184891700744,1.7002839804863052,1.7638282001018524,2.009003292450944,1.5186531077527612,1.85019052028656,0
1973-07-26,0.0,4.765625,4.6875,4.703125,1.85019052028656,37600,56.89649234440114,1.6232506084442138,1.7061626683216096,1.7810392558574677,1.996528567589748,1.5655499441251874,1.8563369512557983,1
