Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,Target,TargetClass
1989-02-03,0.2152789980173111,0.2152789980173111,0.2152789980173111,0.2152789980173111,-105211.203125,0,16.836286406745284,-75301.514921875,-80311.88873181246,-88808.159375,-68651.93279785922,-108964.38595214079,-103658.0546875,1553.1484375,1
1989-02-06,0.21210099756717682,0.21210099756717682,0.21210099756717682,0.21210099756717682,-103658.0546875,0,17.676976688217923,-76136.219921875,-81227.42465164335,-90196.10078125,-69959.86335700832,-110432.33820549169,-106763.8515625,-3105.796875,0
1989-02-07,0.21845600008964539,0.21845600008964539,0.21845600008964539,0.21845600008964539,-106763.8515625,0,17.15710673993823,-77036.921484375,-82228.85315795145,-91729.60703125,-71345.24368373342,-112113.97037876656,-109869.6875,-3105.8359375,0
1989-02-08,0.22481100261211395,0.22481100261211395,0.22481100261211395,0.22481100261211395,-109869.6875,0,20.588613386142736,-77991.969140625,-83312.80744587493,-93437.831640625,-72981.71223549104,-113893.95104575895,-105211.203125,4658.484375,1
1989-02-09,0.2152789980173111,0.2152789980173111,0.2152789980173111,0.2152789980173111,-105211.203125,0,30.41208593440922,-78861.617734375,-84171.56806074257,-94854.901171875,-75325.69391147571,-114384.10843227428,-100552.2265625,4658.9765625,1
1989-02-10,0.20574599504470825,0.20574599504470825,0.20574599504470825,0.20574599504470825,-100552.2265625,0,34.46631787870126,-79645.84734375,-84813.94682551739,-95903.13359375,-77613.10331305294,-114193.16387444705,-95893.234375,4658.9921875,1
1989-02-13,0.1962130069732666,0.1962130069732666,0.1962130069732666,0.1962130069732666,-95893.234375,0,43.98163675064617,-80336.897109375,-85248.42869020299,-96699.013671875,-80012.17012241611,-113385.85722133389,-97446.390625,-1553.15625,0
1989-02-14,0.19939100742340088,0.19939100742340088,0.19939100742340088,0.19939100742340088,-97446.390625,0,48.22367484257623,-81051.249453125,-85726.78013862639,-97630.78203125,-83224.23685583258,-112037.32720666741,-94728.6640625,2717.7265625,1
1989-02-15,0.1938299983739853,0.1938299983739853,0.1938299983739853,0.1938299983739853,-94728.6640625,0,48.999829556991045,-81707.366640625,-86079.79519446458,-98329.605078125,-86193.32303861494,-110465.88711763505,-97446.390625,-2717.7265625,0
1989-02-16,0.19939100742340088,0.19939100742340088,0.19939100742340088,0.19939100742340088,-97446.390625,0,48.999908439558546,-82421.718984375,-86525.54403487773,-98679.01484375,-87107.69270974275,-110250.33697775725,-102493.4140625,-5047.0234375,0
